# Substitution in Drosophila melanogaster
# Identifier: ANCESTRAL_to_DERIVED_REGION
# fpkm : Median gene expression level per 2% bin
# sum_cible_density_XXoptimal_to_XXoptimal_XX : Number of sites corresponding to the derived positions
# sum_subst_density_XXoptimal_to_XXoptimal_XX : Number of substitutions corresponding to the identifier
# density_XXoptimal_to_XXoptimal_XX : Average substitutions per cible across all genes
# confint_low_density_XXoptimal_to_XXoptimal_XX : 2.5% quantile of the density determined by 100 bootstrap samples
# confint_high_density_XXoptimal_to_XXoptimal_XX : 97.5% quantile of the density determined by 100 bootstrap samples
fpkm	sum_cible_density_nonoptimal_to_nonoptimal_codon	sum_subst_density_nonoptimal_to_nonoptimal_codon	density_nonoptimal_to_nonoptimal_codon	confint_low_density_nonoptimal_to_nonoptimal_codon	confint_high_density_nonoptimal_to_nonoptimal_codon	sum_cible_density_nonoptimal_to_optimal_codon	sum_subst_density_nonoptimal_to_optimal_codon	density_nonoptimal_to_optimal_codon	confint_low_density_nonoptimal_to_optimal_codon	confint_high_density_nonoptimal_to_optimal_codon	sum_cible_density_optimal_to_nonoptimal_codon	sum_subst_density_optimal_to_nonoptimal_codon	density_optimal_to_nonoptimal_codon	confint_low_density_optimal_to_nonoptimal_codon	confint_high_density_optimal_to_nonoptimal_codon	sum_cible_density_optimal_to_optimal_codon	sum_subst_density_optimal_to_optimal_codon	density_optimal_to_optimal_codon	confint_low_density_optimal_to_optimal_codon	confint_high_density_optimal_to_optimal_codon	sum_cible_density_optimal_to_nonoptimal_intron	sum_subst_density_optimal_to_nonoptimal_intron	density_optimal_to_nonoptimal_intron	confint_low_density_optimal_to_nonoptimal_intron	confint_high_density_optimal_to_nonoptimal_intron	sum_cible_density_nonoptimal_to_nonoptimal_intron	sum_subst_density_nonoptimal_to_nonoptimal_intron	density_nonoptimal_to_nonoptimal_intron	confint_low_density_nonoptimal_to_nonoptimal_intron	confint_high_density_nonoptimal_to_nonoptimal_intron	sum_cible_density_optimal_to_optimal_intron	sum_subst_density_optimal_to_optimal_intron	density_optimal_to_optimal_intron	confint_low_density_optimal_to_optimal_intron	confint_high_density_optimal_to_optimal_intron	sum_cible_density_nonoptimal_to_optimal_intron	sum_subst_density_nonoptimal_to_optimal_intron	density_nonoptimal_to_optimal_intron	confint_low_density_nonoptimal_to_optimal_intron	confint_high_density_nonoptimal_to_optimal_intron
0.0240686	61211	902	0.018928158440974	0.016782362223652	0.0216302402552963	61211	1285	0.0196890586332339	0.01694635224394	0.0221755995633335	65220	2179	0.0331882301503266	0.030928166983748	0.0368149979228922	65220	858	0.0147388268936002	0.0127665300187863	0.0162166495262822	32031	356	0.0274906031594432	0.0240057163091436	0.0322319137644136	50760	328	0.0172632697431554	0.0137252052765859	0.021213057967934	32031	201	0.0196730077100586	0.0155324294499361	0.0264992971288738	50760	349	0.0167012633128494	0.0130958286226671	0.0191835483661662
0.0670829	42528	606	0.0176587932774425	0.0159653853459992	0.0192248290448547	42528	554	0.0170226535805799	0.0157505873069552	0.0182299615815554	57074	1753	0.0330799457982937	0.0302909238161799	0.0350852461228654	57074	702	0.0145692806635404	0.0134158701200589	0.0160462853404607	48460	510	0.0296590245112671	0.0254665028464446	0.0351945484524897	72440	430	0.0172054638908912	0.0124978865872465	0.0246299511757254	48460	318	0.0176259009035162	0.0139022881945914	0.0217623352501851	72440	379	0.0150035156037351	0.0118429600937972	0.0173420207167767
0.109419	37749	535	0.0183934064879054	0.0170075165260409	0.0198444359579354	37749	498	0.0180412602706618	0.0160375985369727	0.019955799114834	47711	1406	0.0310790845949539	0.0285811593306535	0.0335987729103652	47711	583	0.0147691824189813	0.013524061772927	0.0162196255371569	46677	432	0.0278814544045253	0.0229203315012446	0.0324819941463266	71825	387	0.0161754836160428	0.0128847556691656	0.0186145196670722	46677	219	0.0214819298375503	0.0143612515983707	0.0289498142416236	71825	350	0.016751877880141	0.0136143030932467	0.0196766696111492
0.159267	37893	555	0.0184011725759394	0.0162089317832869	0.0202908571744733	37893	516	0.016473502263068	0.0144974841597165	0.0191540221795003	51012	1536	0.0325504759803627	0.0308546906116854	0.0346725204960329	51012	537	0.0128446089885403	0.0115170886932626	0.0141304159648898	42063	490	0.0273742327446928	0.0237344223583842	0.0327894751705289	63071	383	0.0130532223966764	0.0106568558759454	0.0150645606567448	42063	254	0.0196361892172462	0.0156804788887693	0.0255470175961209	63071	302	0.0138113908012324	0.0113854754002086	0.0166316964512439
0.213905	32163	428	0.0180405480746275	0.0163558162872697	0.0198125626546574	32163	428	0.0176397725257516	0.0160533228113829	0.0197576971530251	44467	1238	0.0295063131999705	0.0278185239930808	0.03163606765092	44467	477	0.0136069014808622	0.0121877772703165	0.0148996214638805	49704	557	0.0345315031224416	0.0285697577423377	0.0407881420247943	77144	457	0.0134888560652213	0.0117330035809843	0.0160111992279158	49704	336	0.0258747967251904	0.0186755933612181	0.0343170617592801	77144	465	0.0151414321233206	0.0129986819599319	0.0180396131025217
0.284285	34593	513	0.0206964458016519	0.0185492155734729	0.0229864042507024	34593	434	0.018512123897009	0.0170813055368554	0.0200535514422853	45592	1319	0.0314385279909587	0.0288696714823786	0.033308198330362	45592	478	0.0143520406220436	0.0128094453958229	0.0160923007949736	52360	555	0.0307459826985591	0.0247873043242657	0.0371061242825921	81597	476	0.0168450513742097	0.0134626678612315	0.0210897231721282	52360	292	0.0165912053686226	0.0133995570366533	0.019963477467762	81597	493	0.0189309035247968	0.0156878416925323	0.0246697176096766
0.376451	37419	558	0.0199991192342447	0.0179621852339334	0.0222695138660481	37419	494	0.018452824115793	0.0165894916503286	0.0207782958702725	51700	1487	0.0315449975492942	0.0292156244601259	0.0337918860481423	51700	545	0.0139378620218599	0.012995162486361	0.0153668347510852	101313	987	0.0312402362750109	0.0260946273995489	0.037760397837117	152688	789	0.0150805513901595	0.0115216869639598	0.018880721203555	101313	513	0.0212564532967563	0.0164107083948141	0.027513599995291	152688	732	0.0126256423743795	0.0101928471427736	0.0150056449124327
0.484929	39695	544	0.0184394752299852	0.0166202113625903	0.0204312813966094	39695	544	0.0167311203442884	0.0153705226271859	0.018400037330791	51489	1455	0.0295126686426553	0.0278583043788046	0.0318502092718651	51489	568	0.0136318912689798	0.0124020626304633	0.0147997263936945	77807	755	0.0263787892712605	0.021599887310014	0.031409559443664	117568	608	0.0155685557998237	0.0123230956285656	0.0179886089824684	77807	371	0.0186959348364777	0.0134220213990766	0.0253887459764515	117568	584	0.0144372779616484	0.0113475156459065	0.0172907205255122
0.629742	38098	538	0.0173716243933462	0.015947750442544	0.0189425123708484	38098	478	0.0152112962288683	0.0141727458070684	0.0167607523921193	51319	1455	0.0314251837666249	0.0295369052834152	0.0334580192084561	51319	547	0.0140937849003242	0.0123148921391771	0.0158255135485949	64171	649	0.0280453529993136	0.0229298360829785	0.0336067891825564	98683	572	0.0147200552124427	0.0117978259192171	0.0181016494502341	64171	360	0.0159907077786757	0.0121125591524102	0.0208153954192315	98683	444	0.0129968661550243	0.0103417100547113	0.0160551532741011
0.795592	40029	537	0.0172344698831631	0.0158403713252227	0.0190448099419501	40029	452	0.0164610532306409	0.0141207810265069	0.0191299980892638	54205	1533	0.030081772888949	0.0272595062123657	0.0329015865158451	54205	555	0.0129936569520599	0.0115638293768286	0.0141880181946411	196454	1738	0.0251523108952543	0.0212367310807557	0.0301598911311257	296738	1387	0.0133397635839505	0.0106556564037712	0.0157402986558159	196454	922	0.0160867157418692	0.0123318895313731	0.0196732901280619	296738	1253	0.0131082036502994	0.0104254650078962	0.016145570631572
