# species1 : Scientific name of the first species studied (Hydra vulgaris)
# species2 : Scientific name of the second species studied
# rho : Spearman correlation coefficient for the relationship between species1 and species2 tRNA gene copy number per amino acid
# pval : P-value of the Spearman correlation coefficient for the relationship between species1 and species2 tRNA gene copy number per amino acid
species1	species2	rho	pval
Hydra_vulgaris	Acanthocheilonema_viteae	0.81658031893056	0.0000112274320813678
Hydra_vulgaris	Acanthochromis_polyacanthus	0.531627108918441	0.0158472190890994
Hydra_vulgaris	Acinonyx_jubatus	0.522821613960159	0.0180194261939809
Hydra_vulgaris	Acromyrmex_echinatior	0.686723618250905	0.000824918312880599
Hydra_vulgaris	Acropora_digitifera	0.491117031798535	0.0278821851549001
Hydra_vulgaris	Acropora_millepora	0.479276699763809	0.0325005556984343
Hydra_vulgaris	Acyrthosiphon_pisum	0.748491704374057	0.000146987581674466
Hydra_vulgaris	Aedes_aegypti	0.696045642086159	0.000653164402091318
Hydra_vulgaris	Alligator_mississippiensis	0.556647160768292	0.0107976638937051
Hydra_vulgaris	Anarrhichthys_ocellatus	0.629671977975949	0.00292856165659414
Hydra_vulgaris	Anas_platyrhynchos	0.700226244343891	0.000586609694889568
Hydra_vulgaris	Ancylostoma_ceylanicum	0.516447933361662	0.0197353240389983
Hydra_vulgaris	Anneissia_japonica	0.691409389989457	0.000734348426548509
Hydra_vulgaris	Anopheles_gambiae	0.732352300523586	0.000241063190097437
Hydra_vulgaris	Anoplophora_glabripennis	0.834150078103596	0.00000485640111905746
Hydra_vulgaris	Anser_cygnoides	0.666166770359237	0.00134208933717434
Hydra_vulgaris	Apis_cerana	0.846185093109818	0.00000258234146244144
Hydra_vulgaris	Apis_florea	0.659983006039105	0.00154279481040476
Hydra_vulgaris	Apis_mellifera	0.776813575102019	0.0000561566598090834
Hydra_vulgaris	Apteryx_rowi	0.862384872619291	0.00000100920672647351
Hydra_vulgaris	Aquila_chrysaetos	0.711052483632683	0.000440381599902494
Hydra_vulgaris	Archocentrus_centrarchus	0.57849073079126	0.00753802261083115
Hydra_vulgaris	Arctia_plantaginis	0.841827644416287	0.00000326527306749406
Hydra_vulgaris	Arvicanthis_niloticus	0.593667588347566	0.00578693203035996
Hydra_vulgaris	Arvicola_amphibius	0.650188864418357	0.00191196674882188
Hydra_vulgaris	Asterias_rubens	0.746888019943084	0.000154641560835997
Hydra_vulgaris	Athalia_rosae	0.824643087613051	0.00000773017997479244
Hydra_vulgaris	Atta_cephalotes	0.699800872186311	0.000593107249984996
Hydra_vulgaris	Bactrocera_oleae	0.747737556561086	0.000150545476424843
Hydra_vulgaris	Balaenoptera_acutorostrata	0.512627250890597	0.0208247482342559
Hydra_vulgaris	Belonocnema_treatae	0.728750827881715	0.000267943256033275
Hydra_vulgaris	Betta_splendens	0.320512820512821	0.168279412016882
Hydra_vulgaris	Blattella_germanica	0.679608039232166	0.000980421168112117
Hydra_vulgaris	Bombus_bifarius	0.761349929857674	0.0000964993595606144
Hydra_vulgaris	Bombus_terrestris	0.753715875990973	0.000124261913042942
Hydra_vulgaris	Bombus_vancouverensis	0.733461925857705	0.000233260641237172
Hydra_vulgaris	Bombus_vosnesenskii	0.755689624933144	0.00011649845418055
Hydra_vulgaris	Bombyx_mori	0.739163263967986	0.000196483084745534
Hydra_vulgaris	Bos_taurus	0.272042277696124	0.245918161274577
Hydra_vulgaris	Branchiostoma_floridae	0.792296976453104	0.0000312569989296528
Hydra_vulgaris	Caenorhabditis_elegans	0.868351627226757	0.000000692795150394337
Hydra_vulgaris	Caenorhabditis_nigoni	0.830509004761895	0.00000582209580717457
Hydra_vulgaris	Calidris_pugnax	0.579489389443178	0.00741086533846086
Hydra_vulgaris	Callithrix_jacchus	0.764351325234072	0.0000871477571720682
Hydra_vulgaris	Camarhynchus_parvulus	0.780824160743428	0.0000484646939158106
Hydra_vulgaris	Camponotus_floridanus	0.636193050364338	0.00256569136548339
Hydra_vulgaris	Canis_lupus	0.693700539735016	0.000693222291127691
Hydra_vulgaris	Catharus_ustulatus	0.523612569955447	0.0178150827133864
Hydra_vulgaris	Centruroides_sculpturatus	0.438795007051069	0.0529331092789131
Hydra_vulgaris	Cephus_cinctus	0.729806459985217	0.0002598117618056
Hydra_vulgaris	Ceratitis_capitata	0.806634056548439	0.0000173709048178205
Hydra_vulgaris	Ceratosolen_solmsi	0.730844703861531	0.000252020683283193
Hydra_vulgaris	Ceratotherium_simum	0.585375088700807	0.00669660559267986
Hydra_vulgaris	Cervus_elaphus	0.104747580608757	0.660302911687751
Hydra_vulgaris	Chelonus_insularis	0.83242498712865	0.00000529496786338888
Hydra_vulgaris	Chiroxiphia_lanceolata	0.647319594848784	0.00203316402470968
Hydra_vulgaris	Chloebia_gouldiae	0.59401897936985	0.00575075335917787
Hydra_vulgaris	Cimex_lectularius	0.131777257876384	0.579712914367861
Hydra_vulgaris	Cloeon_dipterum	0.768362808993893	0.0000758727880103174
Hydra_vulgaris	Clonorchis_sinensis	0.730870764321226	0.00025182771948654
Hydra_vulgaris	Colossoma_macropomum	0.705461843954208	0.000511449635032607
Hydra_vulgaris	Contarinia_nasturtii	0.801694878397843	0.0000213798971602203
Hydra_vulgaris	Coptotermes_formosanus	0.786212739765839	0.0000395711985456652
Hydra_vulgaris	Corvus_cornix	0.7241812701555	0.000305697294068064
Hydra_vulgaris	Cottoperca_gobio	0.611446476546423	0.00417569106153349
Hydra_vulgaris	Crocodylus_porosus	0.391670712872617	0.0876678008921402
Hydra_vulgaris	Crotalus_tigris	0.708444788262658	0.000472408070946062
Hydra_vulgaris	Cryptotermes_secundus	0.851642675248046	0.00000190507300552326
Hydra_vulgaris	Culex_quinquefasciatus	0.780038162749154	0.0000498960431996569
Hydra_vulgaris	Cyanistes_caeruleus	0.576023816777565	0.00785979357903139
Hydra_vulgaris	Cyclopterus_lumpus	0.582297923520131	0.00706263749511717
Hydra_vulgaris	Danaus_plexippus	0.806110958898167	0.0000177620434034497
Hydra_vulgaris	Daphnia_galeata	0.493976463810903	0.026848400540722
Hydra_vulgaris	Dendroctonus_ponderosae	0.488615930625415	0.0288118718722101
Hydra_vulgaris	Dermochelys_coriacea	0.584621225096556	0.00678480632324249
Hydra_vulgaris	Diabrotica_virgifera	0.614630467571644	0.00393075404325669
Hydra_vulgaris	Dictyocaulus_viviparus	0.724151149633678	0.000305960455844209
Hydra_vulgaris	Dinoponera_quadriceps	0.604011842018234	0.00479710517871123
Hydra_vulgaris	Drosophila_erecta	0.880399947645219	0.00000030571831443087
Hydra_vulgaris	Drosophila_grimshawi	0.768040659970724	0.0000767293163055089
Hydra_vulgaris	Drosophila_guanche	0.814130655305908	0.0000125311313496486
Hydra_vulgaris	Drosophila_mauritiana	0.903324293458449	0.0000000491047749458777
Hydra_vulgaris	Drosophila_melanogaster	0.883265648308683	0.00000024844994513908
Hydra_vulgaris	Drosophila_pseudoobscura	0.836288252633241	0.00000435695950236631
Hydra_vulgaris	Drosophila_sechellia	0.904554799168094	0.0000000439600639351545
Hydra_vulgaris	Drosophila_subpulchrella	0.859351432880845	0.00000121386159678448
Hydra_vulgaris	Drosophila_suzukii	0.795538895977143	0.0000274788409898613
Hydra_vulgaris	Dufourea_novaeangliae	0.690739659042282	0.000746753021994579
Hydra_vulgaris	Echinococcus_granulosus	0.539851810416746	0.0140130915507771
Hydra_vulgaris	Electrophorus_electricus	0.368976322053876	0.109388385636976
Hydra_vulgaris	Elysia_chlorotica	0.88847048588291	0.000000168074486858573
