species	freq	nb_site	nb_genes	categorie
Caenorhabditis_elegans	0.468571428571429	300924	840	Highly constrained
Caenorhabditis_elegans	0.547309833024119	300924	840	Highly constrained
Caenorhabditis_elegans	0.497630331753554	300924	840	Highly constrained
Caenorhabditis_elegans	0.571428571428571	300924	840	Highly constrained
Caenorhabditis_elegans	0.384615384615385	300924	840	Highly constrained
Caenorhabditis_elegans	0.54601226993865	300924	840	Highly constrained
Caenorhabditis_elegans	0.487704918032787	300924	840	Highly constrained
Caenorhabditis_elegans	0.604982206405694	300924	840	Highly constrained
Caenorhabditis_elegans	0.44	300924	840	Highly constrained
Caenorhabditis_elegans	0.51865671641791	300924	840	Highly constrained
Caenorhabditis_elegans	0.812056737588652	300924	840	Highly constrained
Caenorhabditis_elegans	0.571428571428571	300924	840	Highly constrained
Caenorhabditis_elegans	0.587719298245614	300924	840	Highly constrained
Caenorhabditis_elegans	0.656652360515021	300924	840	Highly constrained
Caenorhabditis_elegans	0.477386934673367	300924	840	Highly constrained
Caenorhabditis_elegans	0.4921875	300924	840	Highly constrained
Caenorhabditis_elegans	0.69060773480663	300924	840	Highly constrained
Caenorhabditis_elegans	0.46875	300924	840	Highly constrained
Caenorhabditis_elegans	0.447368421052632	300924	840	Highly constrained
Caenorhabditis_elegans	0.577586206896552	300924	840	Highly constrained
Caenorhabditis_elegans	0.595454545454545	300924	840	Highly constrained
Caenorhabditis_elegans	0.549763033175355	300924	840	Highly constrained
Caenorhabditis_elegans	0.525316455696203	300924	840	Highly constrained
Caenorhabditis_elegans	0.447916666666667	300924	840	Highly constrained
Caenorhabditis_elegans	0.452380952380952	300924	840	Highly constrained
Caenorhabditis_elegans	0.551515151515152	300924	840	Highly constrained
Caenorhabditis_elegans	0.502369668246445	300924	840	Highly constrained
Caenorhabditis_elegans	0.452127659574468	300924	840	Highly constrained
Caenorhabditis_elegans	0.608108108108108	300924	840	Highly constrained
Caenorhabditis_elegans	0.468531468531469	300924	840	Highly constrained
Caenorhabditis_elegans	0.428571428571429	300924	840	Highly constrained
Caenorhabditis_elegans	0.460251046025105	300924	840	Highly constrained
Caenorhabditis_elegans	0.507936507936508	300924	840	Highly constrained
Caenorhabditis_elegans	0.569620253164557	300924	840	Highly constrained
Caenorhabditis_elegans	0.456896551724138	300924	840	Highly constrained
Caenorhabditis_elegans	0.701421800947867	300924	840	Highly constrained
Caenorhabditis_elegans	0.444976076555024	300924	840	Highly constrained
Caenorhabditis_elegans	0.50561797752809	300924	840	Highly constrained
Caenorhabditis_elegans	0.528089887640449	300924	840	Highly constrained
Caenorhabditis_elegans	0.466346153846154	300924	840	Highly constrained
Caenorhabditis_elegans	0.511111111111111	300924	840	Highly constrained
Caenorhabditis_elegans	0.494949494949495	300924	840	Highly constrained
Caenorhabditis_elegans	0.54601226993865	300924	840	Highly constrained
Caenorhabditis_elegans	0.456273764258555	300924	840	Highly constrained
Caenorhabditis_elegans	0.440993788819876	300924	840	Highly constrained
Caenorhabditis_elegans	0.485148514851485	300924	840	Highly constrained
Caenorhabditis_elegans	0.582677165354331	300924	840	Highly constrained
Caenorhabditis_elegans	0.51219512195122	300924	840	Highly constrained
Caenorhabditis_elegans	0.472222222222222	300924	840	Highly constrained
Caenorhabditis_elegans	0.510869565217391	300924	840	Highly constrained
Caenorhabditis_elegans	0.494318181818182	300924	840	Highly constrained
Caenorhabditis_elegans	0.526315789473684	300924	840	Highly constrained
Caenorhabditis_elegans	0.716417910447761	300924	840	Highly constrained
Caenorhabditis_elegans	0.484126984126984	300924	840	Highly constrained
Caenorhabditis_elegans	0.624413145539906	300924	840	Highly constrained
Caenorhabditis_elegans	0.433333333333333	300924	840	Highly constrained
Caenorhabditis_elegans	0.513725490196078	300924	840	Highly constrained
